TIC ID,Sector,class,confidence
125789421,34,Delta Scuti,0.99780887
33149129,33,Delta Scuti,0.99751186
67905568,47,Delta Scuti,0.99694532
59213189,45,Delta Scuti,0.99666291
208576321,38,Delta Scuti,0.99663866
65144371,33,Delta Scuti,0.99647021
123107967,34,Delta Scuti,0.99633008
234055029,33,Delta Scuti,0.99621224
247680000,43,Delta Scuti,0.99619639
123107967,35,Delta Scuti,0.99619365
11350668,41,Delta Scuti,0.99616963
229167951,33,Delta Scuti,0.9960919
464955936,39,Delta Scuti,0.99604058
152714879,27,Delta Scuti,0.99603027
331374266,55,Delta Scuti,0.99599659
366621177,34,Delta Scuti,0.99598157
293564927,35,Delta Scuti,0.99597317
293563279,35,Delta Scuti,0.99586356
65144371,34,Delta Scuti,0.9958028
284996536,32,Delta Scuti,0.99575728
83459739,45,Delta Scuti,0.99572241
11350668,55,Delta Scuti,0.99568105
200806294,31,Delta Scuti,0.99561077
279362771,55,Delta Scuti,0.99560624
200806294,30,Delta Scuti,0.99557674
276055067,54,Delta Scuti,0.99552441
265606698,55,Delta Scuti,0.99546021
309854196,37,Delta Scuti,0.99542314
276055067,41,Delta Scuti,0.99541664
419353122,41,Delta Scuti,0.99540895
3960276,46,Delta Scuti,0.99540722
182536368,34,Delta Scuti,0.99534339
238830991,27,Delta Scuti,0.99531388
152370107,37,Delta Scuti,0.99530041
94582748,34,Delta Scuti,0.99526346
309854196,35,Delta Scuti,0.99525589
143079876,33,Delta Scuti,0.99525023
250022670,38,Delta Scuti,0.99521989
263496454,38,Delta Scuti,0.995192289
184224098,41,Delta Scuti,0.99517149
159190524,49,Delta Scuti,0.99513572
159190524,48,Delta Scuti,0.99510163
165448744,49,Delta Scuti,0.99509639
452704109,55,Delta Scuti,0.99508947
453396873,37,Delta Scuti,0.99508202
447601189,39,Delta Scuti,0.99506432
247680000,45,Delta Scuti,0.99505949
83459739,44,Delta Scuti,0.9949497
83459739,43,Delta Scuti,0.99494427
234167666,33,Delta Scuti,0.99493814
263496454,39,Delta Scuti,0.99492127
419414731,41,Delta Scuti,0.99485993
182536368,35,Delta Scuti,0.99485189
148668056,34,Delta Scuti,0.99480718
201291943,28,Delta Scuti,0.99479538
43795583,52,Delta Scuti,0.99478638
284729193,43,Delta Scuti,0.99476212
341294179,27,Delta Scuti,0.99475771
229390865,37,Delta Scuti,0.99474031
217944874,39,Delta Scuti,0.99473464
332078713,34,Delta Scuti,0.99464095
377019427,43,Delta Scuti,0.99462378
377019427,42,Delta Scuti,0.99460632
436090735,41,Delta Scuti,0.994576335
452609144,39,Delta Scuti,0.99454862
4291006,32,Delta Scuti,0.99452066
353885970,44,Delta Scuti,0.99451584
158787200,54,Delta Scuti,0.99449772
453396873,38,Delta Scuti,0.99443012
152370107,36,Delta Scuti,0.99442744
353885970,43,Delta Scuti,0.99439561
301397768,39,Delta Scuti,0.99438912
457926395,51,Delta Scuti,0.99433208
461540453,53,Delta Scuti,0.99424756
309854196,38,Delta Scuti,0.99424464
309854196,36,Delta Scuti,0.99420327
102183089,42,Delta Scuti,0.99414682
29662381,35,Delta Scuti,0.99413341
24537208,35,Delta Scuti,0.99408096
360647145,37,Delta Scuti,0.99405515
231525930,35,Delta Scuti,0.99404436
383943761,37,Delta Scuti,0.9940123
114141877,27,Delta Scuti,0.99399638
236396746,51,Delta Scuti,0.99396813
16053262,44,Delta Scuti,0.99392807
300843166,27,Delta Scuti,0.99391997
29662381,36,Delta Scuti,0.99388641
460655233,37,Delta Scuti,0.99388111
461979328,37,Delta Scuti,0.99385506
451111420,38,Delta Scuti,0.99384391
469036078,36,Delta Scuti,0.99383694
327918448,27,Delta Scuti,0.99379706
271307951,34,Delta Scuti,0.99378926
327918448,28,Delta Scuti,0.99375808
138285753,44,Delta Scuti,0.99374831
59608614,33,Delta Scuti,0.99372864
184181455,34,Delta Scuti,0.99372125
59608160,33,Delta Scuti,0.99369025
342583955,38,Delta Scuti,0.99365145
461979328,36,Delta Scuti,0.9935959
17106825,39,Delta Scuti,0.99359059
419353122,55,Delta Scuti,0.99358714
99079331,33,Delta Scuti,0.99356163
77237929,36,Delta Scuti,0.99355918
170887438,35,Delta Scuti,0.99351466
70887502,32,Delta Scuti,0.9934929
93334213,33,Delta Scuti,0.99346501
86780980,54,Delta Scuti,0.99345487
17329905,48,Delta Scuti,0.9934448
402961709,41,Delta Scuti,0.9934411
309559245,38,Delta Scuti,0.99339193
59608614,34,Delta Scuti,0.99336535
142179287,30,Delta Scuti,0.993361
251157554,33,Delta Scuti,0.99326777
154566747,41,Delta Scuti,0.99325562
231525930,34,Delta Scuti,0.99325126
175736908,46,Delta Scuti,0.99324965
469036078,37,Delta Scuti,0.99318039
50835817,34,Delta Scuti,0.99317145
37793254,33,Delta Scuti,0.99315321
167214947,38,Delta Scuti,0.99310654
178135087,34,Delta Scuti,0.99310291
90475275,55,Delta Scuti,0.99306422
383943761,36,Delta Scuti,0.99306124
361780927,41,Delta Scuti,0.99300802
224544751,54,Delta Scuti,0.99300522
323109998,51,Delta Scuti,0.99295759
247680000,44,Delta Scuti,0.99293232
367301365,54,Delta Scuti,0.99286413
363101464,37,Delta Scuti,0.99286145
94541882,43,Delta Scuti,0.99284333
410930215,38,Delta Scuti,0.99282891
142055255,40,Delta Scuti,0.99280518
436167001,55,Delta Scuti,0.99277931
3960276,45,Delta Scuti,0.99277508
383943761,35,Delta Scuti,0.99267453
342583955,39,Delta Scuti,0.99262601
284729193,32,Delta Scuti,0.99261236
377047956,46,Delta Scuti,0.99258679
461272587,37,Delta Scuti,0.99258196
385589694,43,Delta Scuti,0.99256057
94541882,44,Delta Scuti,0.9925229
268330767,47,Delta Scuti,0.99247253
251157293,33,Delta Scuti,0.99247098
91696910,33,Delta Scuti,0.99238354
99079331,34,Delta Scuti,0.99237317
91618070,45,Delta Scuti,0.9923718
284729193,44,Delta Scuti,0.99232799
231185312,33,Delta Scuti,0.99228776
377049136,52,Delta Scuti,0.99226099
154566747,40,Delta Scuti,0.99222362
405106078,34,Delta Scuti,0.99222142
180846685,40,Delta Scuti,0.99219632
49085415,33,Delta Scuti,0.99213457
183910134,34,Delta Scuti,0.99211746
68540498,47,Delta Scuti,0.99210489
175475830,28,Delta Scuti,0.99208343
339448880,27,Delta Scuti,0.99205571
150437899,33,Delta Scuti,0.99204773
33147677,33,Delta Scuti,0.99204516
353885970,45,Delta Scuti,0.99202991
119362929,33,Delta Scuti,0.99201548
469259182,36,Delta Scuti,0.99199229
234171460,33,Delta Scuti,0.99184436
276345283,41,Delta Scuti,0.99184096
261108013,39,Delta Scuti,0.99179065
201291943,29,Delta Scuti,0.99177778
106368499,36,Delta Scuti,0.99168748
376860605,55,Delta Scuti,0.99166042
364508486,36,Delta Scuti,0.99160576
150334340,34,Delta Scuti,0.991597
106750355,34,Delta Scuti,0.9915911
368576188,38,Delta Scuti,0.99157858
350963345,39,Delta Scuti,0.99156171
268330767,52,Delta Scuti,0.99155152
232149726,33,Delta Scuti,0.99154377
33045250,33,Delta Scuti,0.99148631
296429708,36,Delta Scuti,0.99144065
119693578,33,Delta Scuti,0.99141556
70092417,39,Delta Scuti,0.99140692
83532054,43,Delta Scuti,0.99139965
125174457,34,Delta Scuti,0.991378307
261108013,27,Delta Scuti,0.99137598
451111420,37,Delta Scuti,0.99136704
238830991,28,Delta Scuti,0.99136543
456850079,34,Delta Scuti,0.9913106
37996204,33,Delta Scuti,0.99126935
310000381,40,Delta Scuti,0.99120563
261203891,31,Delta Scuti,0.99118865
235548392,33,Delta Scuti,0.99118716
428860793,53,Delta Scuti,0.991175771
215582288,54,Delta Scuti,0.99116057
376687314,52,Delta Scuti,0.99116057
285026194,34,Delta Scuti,0.9911445
306179642,43,Delta Scuti,0.9911021
445266504,33,Delta Scuti,0.991101205
436167001,41,Delta Scuti,0.99106824
91618070,44,Delta Scuti,0.991045
428860793,52,Delta Scuti,0.99101275
377049136,40,Delta Scuti,0.99099559
386154220,45,Delta Scuti,0.99099475
3960276,48,Delta Scuti,0.99092031
123151282,35,Delta Scuti,0.99090403
16771560,47,Delta Scuti,0.99087685
150437899,34,Delta Scuti,0.99079317
125666345,39,Delta Scuti,0.99076825
261108013,38,Delta Scuti,0.99076182
436057010,41,Delta Scuti,0.99073374
150437899,35,Delta Scuti,0.99065769
114603620,43,Delta Scuti,0.99059403
83532054,45,Delta Scuti,0.99058062
167208552,37,Delta Scuti,0.99057335
286459146,41,Delta Scuti,0.99056679
53173467,34,Delta Scuti,0.99055052
261108013,34,Delta Scuti,0.99050468
150437899,38,Delta Scuti,0.99045485
417809261,41,Delta Scuti,0.990432322
454245960,38,Delta Scuti,0.99038398
201175605,29,Delta Scuti,0.99037546
394015973,28,Delta Scuti,0.99036509
57976388,54,Delta Scuti,0.99033725
58475194,44,Delta Scuti,0.9903329
83532054,44,Delta Scuti,0.99033207
18550162,35,Delta Scuti,0.99029583
298430798,41,Delta Scuti,0.99028945
142140720,37,Delta Scuti,0.99027795
175475830,29,Delta Scuti,0.9902721
138056415,37,Delta Scuti,0.9902643
320842011,27,Delta Scuti,0.990241826
309854196,28,Delta Scuti,0.99022454
45245048,38,Delta Scuti,0.99019718
209102186,27,Delta Scuti,0.99018353
159191044,49,Delta Scuti,0.99014318
73352377,47,Delta Scuti,0.99010706
328304978,39,Delta Scuti,0.99010158
184181455,35,Delta Scuti,0.99009818
402961709,54,Delta Scuti,0.99008894
293392956,42,Delta Scuti,0.99005216
17811619,47,Delta Scuti,0.99003357
83461344,43,Delta Scuti,0.98998988
394219551,35,Delta Scuti,0.98998547
402534936,54,Delta Scuti,0.98996907
74832277,39,Delta Scuti,0.98994875
164586382,27,Delta Scuti,0.98991382
461540453,52,Delta Scuti,0.98990178
315810130,52,Delta Scuti,0.98986369
108650574,34,Delta Scuti,0.98985541
83368782,39,Delta Scuti,0.98984867
452982723,34,Delta Scuti,0.98983711
272811813,38,Delta Scuti,0.98983347
10536613,39,Delta Scuti,0.98980671
88569358,47,Delta Scuti,0.98977125
19847200,45,Delta Scuti,0.98975474
5392693,35,Delta Scuti,0.98974669
49187161,33,Delta Scuti,0.9897176
377049136,49,Delta Scuti,0.98966718
85623308,52,Delta Scuti,0.98966205
150437899,37,Delta Scuti,0.9896577
33409358,36,Delta Scuti,0.98965693
315810130,53,Delta Scuti,0.98963797
83461344,44,Delta Scuti,0.989631
309623153,37,Delta Scuti,0.98962784
138285753,43,Delta Scuti,0.98961151
57976388,41,Delta Scuti,0.98960471
234083479,33,Delta Scuti,0.98955148
310000381,47,Delta Scuti,0.98954576
106750355,33,Delta Scuti,0.989505351
364508486,37,Delta Scuti,0.98949558
310000381,48,Delta Scuti,0.98948574
67331247,41,Delta Scuti,0.98944634
192626655,39,Delta Scuti,0.98940724
435976519,38,Delta Scuti,0.98937923
444005912,46,Delta Scuti,0.98931319
73632752,36,Delta Scuti,0.98924911
469259182,37,Delta Scuti,0.98922056
142055255,53,Delta Scuti,0.989204764
67331247,55,Delta Scuti,0.98920268
417916452,48,Delta Scuti,0.98919171
363904185,54,Delta Scuti,0.98918849
376977674,49,Delta Scuti,0.98915392
91557311,55,Delta Scuti,0.98914695
41211703,55,Delta Scuti,0.98909575
150975818,43,Delta Scuti,0.98909491
165329005,48,Delta Scuti,0.989093304
402415889,39,Delta Scuti,0.98907173
31849805,34,Delta Scuti,0.98906577
367143296,52,Delta Scuti,0.98905468
91615630,45,Delta Scuti,0.98905063
435710525,41,Delta Scuti,0.98899323
167319572,55,Delta Scuti,0.988986731
199550589,54,Delta Scuti,0.988927007
310000381,41,Delta Scuti,0.98892128
162159860,39,Delta Scuti,0.98888224
268330767,53,Delta Scuti,0.988877714
3664782,44,Delta Scuti,0.98887604
417916452,47,Delta Scuti,0.988870382
36864008,38,Delta Scuti,0.98886079
419091281,34,Delta Scuti,0.98885185
261108013,35,Delta Scuti,0.98883772
61474606,37,Delta Scuti,0.98883384
150437899,31,Delta Scuti,0.98883128
447438857,36,Delta Scuti,0.98879868
373210707,43,Delta Scuti,0.98873562
333621753,33,Delta Scuti,0.988714397
158632599,40,Delta Scuti,0.98867011
91557311,41,Delta Scuti,0.98864532
296213123,40,Delta Scuti,0.98856109
158632599,53,Delta Scuti,0.98850507
226028695,38,Delta Scuti,0.98850495
24539889,35,Delta Scuti,0.9885034
150437899,36,Delta Scuti,0.98850071
432206235,34,Delta Scuti,0.98849118
234611773,33,Delta Scuti,0.98843646
123029418,34,Delta Scuti,0.98842001
92196687,28,Delta Scuti,0.98841023
101580331,36,Delta Scuti,0.9882912
319905236,27,Delta Scuti,0.98828608
256074437,39,Delta Scuti,0.988240123
431883737,34,Delta Scuti,0.988224268
175381058,34,Delta Scuti,0.98819762
43795583,53,Delta Scuti,0.98817992
367551618,54,Delta Scuti,0.98813814
128022104,45,Delta Scuti,0.98807216
184255523,55,Delta Scuti,0.98806179
282051545,33,Delta Scuti,0.98804712
150437899,30,Delta Scuti,0.98801303
418733264,54,Delta Scuti,0.98799986
318163050,38,Delta Scuti,0.98799264
82201419,48,Delta Scuti,0.98798627
270737821,35,Delta Scuti,0.98796171
360638053,37,Delta Scuti,0.98794413
123931553,33,Delta Scuti,0.98791921
367401850,43,Delta Scuti,0.98791111
158787200,40,Delta Scuti,0.98790771
58440894,55,Delta Scuti,0.98789424
367916769,52,Delta Scuti,0.98788106
397522881,37,Delta Scuti,0.98783314
58440894,41,Delta Scuti,0.98783046
356528601,36,Delta Scuti,0.987824678
309623153,36,Delta Scuti,0.98777664
123102123,35,Delta Scuti,0.98775232
19847200,43,Delta Scuti,0.98775136
90475275,41,Delta Scuti,0.98774892
175667595,54,Delta Scuti,0.98771453
138056415,36,Delta Scuti,0.98768914
251065571,31,Delta Scuti,0.98768312
139481694,33,Delta Scuti,0.98762089
154566747,48,Delta Scuti,0.98760521
8170267,27,Delta Scuti,0.98759651
224544751,53,Delta Scuti,0.98751605
150437899,28,Delta Scuti,0.98746359
441936235,36,Delta Scuti,0.987445
414207423,38,Delta Scuti,0.98741734
309623153,35,Delta Scuti,0.987413764
444769894,52,Delta Scuti,0.98739493
66826104,33,Delta Scuti,0.98728442
426821925,43,Delta Scuti,0.98727381
261203891,38,Delta Scuti,0.98725468
205535890,54,Delta Scuti,0.98723429
32924586,35,Delta Scuti,0.98721004
142082235,33,Delta Scuti,0.98718458
100013759,41,Delta Scuti,0.98717028
234064016,33,Delta Scuti,0.98716891
27333497,44,Delta Scuti,0.98716742
242569744,38,Delta Scuti,0.98709339
444005912,45,Delta Scuti,0.98703837
41211703,40,Delta Scuti,0.98703045
318090762,46,Delta Scuti,0.987023115
344403076,37,Delta Scuti,0.9870171
284525374,47,Delta Scuti,0.98698449
234516307,28,Delta Scuti,0.9868499
310309046,38,Delta Scuti,0.98680615
172083639,33,Delta Scuti,0.98680103
377049136,55,Delta Scuti,0.98679972
262202871,33,Delta Scuti,0.98679751
117418088,48,Delta Scuti,0.9867236
261108013,31,Delta Scuti,0.98670864
242611698,38,Delta Scuti,0.98670447
376977674,52,Delta Scuti,0.98670363
43358373,33,Delta Scuti,0.98667151
234516307,29,Delta Scuti,0.98666745
461540453,40,Delta Scuti,0.986637592
435680711,52,Delta Scuti,0.98656845
435916016,32,Delta Scuti,0.98650658
210843446,39,Delta Scuti,0.98650438
76638479,45,Delta Scuti,0.98650312
377049136,53,Delta Scuti,0.98649675
114603620,45,Delta Scuti,0.98648876
368837390,51,Delta Scuti,0.98645872
435680711,53,Delta Scuti,0.98645604
59608614,35,Delta Scuti,0.986438751
355915039,54,Delta Scuti,0.98643458
16053262,45,Delta Scuti,0.98641157
281615144,33,Delta Scuti,0.98640311
385114229,43,Delta Scuti,0.98638654
77890959,45,Delta Scuti,0.98635024
293392956,43,Delta Scuti,0.98629773
114603620,44,Delta Scuti,0.98629087
385589694,42,Delta Scuti,0.98628783
142082235,36,Delta Scuti,0.98626477
276345283,55,Delta Scuti,0.98624057
31645465,36,Delta Scuti,0.9862358
307980547,35,Delta Scuti,0.986214936
